Node,S30,S10,S90,S120,S30 in liter,S10 in liter,S90 liter,S120 in liter,Rain,Max Wind Spd km/h,Min Temp,Max Temp,Daily water usage,Duration of Sprinkler
1,12.02,13.8,16.56,8.86,36.06,13.8,149.04,106.32,0,43,22.6,33.4,1700,12
1,12.02,13.8,16.56,8.86,36.06,13.8,149.04,106.32,0,43,22.6,33.4,1700,12
1,12.02,13.8,16.55,8.85,36.06,13.8,148.95,106.2,0,43,22.6,33.4,1700,12
1,12.02,13.8,16.55,8.86,36.06,13.8,148.95,106.32,0,43,22.6,33.4,1700,12
1,12.02,13.79,16.55,8.85,36.06,13.79,148.95,106.2,0,43,22.6,33.4,1690,10
1,12.03,13.79,16.55,8.85,36.09,13.79,148.95,106.2,0,43,22.6,33.4,1690,10
1,12.03,13.79,16.55,8.85,36.09,13.79,148.95,106.2,0,43,22.6,33.4,1690,10
1,12.03,13.79,16.55,8.85,36.09,13.79,148.95,106.2,0,43,22.6,33.4,1690,10
1,12.03,13.79,16.55,8.85,36.09,13.79,148.95,106.2,0,43,22.6,33.4,1690,10
1,12.03,13.79,16.55,8.85,36.09,13.79,148.95,106.2,0,43,22.6,33.4,1690,10
1,12.03,13.79,16.55,8.85,36.09,13.79,148.95,106.2,0,43,22.6,33.4,1690,10
1,12.03,13.8,16.55,8.85,36.09,13.8,148.95,106.2,0,43,22.6,33.4,1700,12
1,12.03,13.8,16.55,8.85,36.09,13.8,148.95,106.2,0,43,22.6,33.4,1700,12
1,12.04,13.81,16.55,8.85,36.12,13.81,148.95,106.2,0,43,22.6,33.4,1725,13
1,12.04,13.81,16.55,8.85,36.12,13.81,148.95,106.2,0,43,22.6,33.4,1725,13
1,12.03,13.82,16.55,8.85,36.09,13.82,148.95,106.2,0,43,22.6,33.4,1750,14
1,12.03,13.82,16.55,8.85,36.09,13.82,148.95,106.2,0,43,22.6,33.4,1750,14
1,12.03,13.82,16.55,8.84,36.09,13.82,148.95,106.08,0,43,22.6,33.4,1750,14
1,12.03,13.82,16.55,8.85,36.09,13.82,148.95,106.2,0,43,22.6,33.4,1750,14
1,12.02,13.83,16.55,8.84,36.06,13.83,148.95,106.08,0,43,22.6,33.4,1800,15
1,12.02,13.83,16.55,8.84,36.06,13.83,148.95,106.08,0,43,22.6,33.4,1800,15
1,11.99,13.82,16.54,8.81,35.97,13.82,148.86,105.72,13,43,23.9,31.6,1750,14
1,11.99,13.82,16.54,8.8,35.97,13.82,148.86,105.6,13,43,23.9,31.6,1750,14
1,12.01,13.82,16.54,8.82,36.03,13.82,148.86,105.84,13,43,23.9,31.6,1750,14
1,12.01,13.82,16.54,8.79,36.03,13.82,148.86,105.48,13,43,23.9,31.6,1750,14
1,12.03,13.82,16.54,8.8,36.09,13.82,148.86,105.6,13,43,23.9,31.6,1750,14
1,12.03,13.82,16.54,8.79,36.09,13.82,148.86,105.48,13,43,23.9,31.6,1750,14
1,12.04,13.82,16.54,8.8,36.12,13.82,148.86,105.6,13,43,23.9,31.6,1750,14
1,12.05,13.82,16.54,8.81,36.15,13.82,148.86,105.72,13,43,23.9,31.6,1750,14
1,12.06,13.82,16.54,8.79,36.18,13.82,148.86,105.48,13,43,23.9,31.6,1750,14
1,12.08,13.82,16.54,8.79,36.24,13.82,148.86,105.48,13,43,23.9,31.6,1750,14
1,12.08,13.82,16.54,8.8,36.24,13.82,148.86,105.6,13,43,23.9,31.6,1750,14
1,12.09,13.82,16.54,8.79,36.27,13.82,148.86,105.48,13,43,23.9,31.6,1750,14
1,12.1,13.83,16.54,8.8,36.3,13.83,148.86,105.6,13,43,23.9,31.6,1800,15
